block_group,reduced_match_qualify
080010080001,Qualifying
080010080002,Qualifying
080010080004,Qualifying
080010081001,Qualifying
080010082001,Qualifying
080010082002,Qualifying
080010082003,Qualifying
080010083081,Qualifying
080010083083,Qualifying
080010083091,Qualifying
080010083092,Qualifying
080010083093,Qualifying
080010083541,Qualifying
080010083542,Qualifying
080010083551,Qualifying
080010083552,Qualifying
080010083553,Qualifying
080010084011,Not Qualifying
080010084012,Not Qualifying
080010084013,Not Qualifying
080010084021,Not Qualifying
080010084022,Not Qualifying
080010084023,Not Qualifying
080010085054,Qualifying
080010085055,Qualifying
080010085071,Qualifying
080010085075,Qualifying
080010085081,Qualifying
080010085082,Not Qualifying
080010085243,Qualifying
080010085245,Not Qualifying
080010085246,Not Qualifying
080010085261,Qualifying
080010085262,Not Qualifying
080010085265,Not Qualifying
080010085331,Qualifying
080010085332,Qualifying
080010085333,Qualifying
080010085334,Qualifying
080010085335,Qualifying
080010085341,Qualifying
080010085351,Qualifying
080010085352,Qualifying
080010085361,Qualifying
080010085362,Qualifying
080010085381,Qualifying
080010085382,Not Qualifying
080010085383,Not Qualifying
080010085384,Not Qualifying
080010085401,Not Qualifying
080010085402,Not Qualifying
080010085405,Not Qualifying
080010085406,Not Qualifying
080010085441,Not Qualifying
080010085442,Not Qualifying
080010085443,Not Qualifying
080010085451,Not Qualifying
080010085452,Not Qualifying
080010085453,Not Qualifying
080010085454,Not Qualifying
080010085455,Qualifying
080010085491,Not Qualifying
080010085503,Not Qualifying
080010085505,Not Qualifying
080010085511,Not Qualifying
080010085521,Qualifying
080010085522,Qualifying
080010085523,Not Qualifying
080010085531,Not Qualifying
080010085532,Not Qualifying
080010085541,Qualifying
080010085551,Qualifying
080010085552,Qualifying
080010085553,Qualifying
080010085554,Qualifying
080010085561,Qualifying
080010085562,Qualifying
080010085571,Qualifying
080010085581,Qualifying
080010085591,Qualifying
080010085592,Qualifying
080010085593,Qualifying
080010085601,Not Qualifying
080010085611,Not Qualifying
080010085612,Not Qualifying
080010085613,Not Qualifying
080010085621,Not Qualifying
080010085622,Qualifying
080010085631,Not Qualifying
080010085632,Not Qualifying
080010085641,Qualifying
080010085651,Qualifying
080010085652,Qualifying
080010085653,Not Qualifying
080010085654,Qualifying
080010085655,Qualifying
080010086031,Qualifying
080010086041,Qualifying
080010086051,Qualifying
080010086063,Qualifying
080010086064,Qualifying
080010087061,Qualifying
080010087062,Qualifying
080010087063,Qualifying
080010087093,Qualifying
080010087095,Qualifying
080010087096,Qualifying
080010088011,Qualifying
080010088012,Qualifying
080010088021,Qualifying
080010088022,Qualifying
080010088023,Qualifying
080010089011,Qualifying
080010090041,Qualifying
080010090042,Qualifying
080010090043,Qualifying
080010091011,Qualifying
080010091031,Qualifying
080010091032,Qualifying
080010091041,Qualifying
080010091042,Qualifying
080010092032,Qualifying
080010092041,Qualifying
080010092044,Qualifying
080010092061,Qualifying
080010093041,Qualifying
080010093043,Qualifying
080010093044,Not Qualifying
080010093093,Qualifying
080010093161,Qualifying
080010093181,Qualifying
080010093182,Qualifying
080010093183,Qualifying
080010093191,Qualifying
080010093192,Qualifying
080010093193,Qualifying
080010093201,Qualifying
080010093202,Qualifying
080010093231,Qualifying
080010093232,Qualifying
080010093251,Qualifying
080010093252,Not Qualifying
080010093253,Not Qualifying
080010093261,Qualifying
080010093262,Not Qualifying
080010093271,Not Qualifying
080010093273,Qualifying
080010093274,Not Qualifying
080010094011,Qualifying
080010094012,Qualifying
080010094013,Qualifying
080010094071,Qualifying
080010094072,Qualifying
080010094081,Not Qualifying
080010094082,Not Qualifying
080010094092,Not Qualifying
080010094093,Not Qualifying
080010094102,Not Qualifying
080010095532,Qualifying
080010096071,Qualifying
080010096072,Qualifying
080010096081,Not Qualifying
080010097511,Qualifying
080010097512,Qualifying
080010150001,Qualifying
080010150002,Qualifying
080010150003,Qualifying
080010600011,Not Qualifying
080010600012,Not Qualifying
080010600021,Not Qualifying
080010600022,Not Qualifying
080010600023,Not Qualifying
080010601001,Not Qualifying
080010601002,Qualifying
080010601003,Qualifying
080010602001,Qualifying
080010602002,Not Qualifying
080010612001,Not Qualifying
080010612002,Not Qualifying
080039600001,Qualifying
080039600002,Not Qualifying
080039601001,Qualifying
080039601002,Qualifying
080039601003,Qualifying
080039602011,Qualifying
080039602012,Qualifying
080039602013,Qualifying
080039602021,Qualifying
080039602022,Qualifying
080039602023,Qualifying
080039603001,Qualifying
080039603002,Qualifying
080039603003,Qualifying
080039603004,Qualifying
080050055513,Qualifying
080050055521,Qualifying
080050055523,Qualifying
080050055533,Qualifying
080050056111,Not Qualifying
080050056112,Not Qualifying
080050056121,Not Qualifying
080050056141,Not Qualifying
080050056142,Not Qualifying
080050056143,Not Qualifying
080050056191,Not Qualifying
080050056192,Not Qualifying
080050056193,Not Qualifying
080050056194,Not Qualifying
080050056211,Not Qualifying
080050056212,Not Qualifying
080050056221,Not Qualifying
080050056222,Not Qualifying
080050056231,Not Qualifying
080050056233,Not Qualifying
080050056261,Not Qualifying
080050056271,Not Qualifying
080050056272,Not Qualifying
080050056281,Not Qualifying
080050056283,Not Qualifying
080050056284,Not Qualifying
080050056291,Not Qualifying
080050056292,Not Qualifying
080050056302,Not Qualifying
080050056312,Not Qualifying
080050056313,Not Qualifying
080050056321,Not Qualifying
080050056322,Not Qualifying
080050056331,Not Qualifying
080050056341,Not Qualifying
080050056342,Not Qualifying
080050056354,Not Qualifying
080050056361,Not Qualifying
080050056362,Not Qualifying
080050059512,Qualifying
080050059513,Qualifying
080050059514,Qualifying
