block_group,poverty_percent_below_1_rank,civ_labor_force_unemployed_percent_2_rank,no_hs_degree_percent_4_rank,over_65_percent_5_rank,under_18_percent_6_rank,disabled_adult_percent_7_rank,single_householder_percent_8_rank,percent_minority_9_rank,eng_proficiency_rank,over_10_rank,mobile_units_rank,over_1_person_room_percent_13_rank,no_vehicle_percent_14_rank,group_quarters_percent_15_rank,Gini_income_rank,Gini_education_rank,directional_median_hh_income_3_rank,wfsvi,percent_qualify,COES_DIC,reduced_match_qualify
080010080001,0.73,0,0.94,0.47,0.91,0.74,0.97,0.79,0.71,0,0,0,0.88,0,0.55,0.02,0.62,0.75,0.449,TRUE,Qualifying
080010080002,0.78,0.37,0.95,0.06,0.91,0.56,0.97,0.97,1,0.88,0,0.92,0.81,0.83,0.37,0.08,0.97,0.9,0.925,TRUE,Qualifying
080010080004,0.25,0,0.86,0.51,0.75,0.69,0.96,0.8,0.9,0.6,0,0.64,0,0,0.48,0.19,0.33,0.41,0.1,TRUE,Qualifying
080010081001,0.92,0.45,0.64,0.27,0.06,0.48,0.48,0.82,0.85,1,0.78,0.83,0.88,0.97,0.04,0.14,0.84,0.79,0.427,TRUE,Qualifying
080010082001,0.42,0.7,0.94,0.29,0.59,0.69,0.65,0.91,0.83,0,0,0.83,0.8,0,0.59,0.06,0.47,0.76,0.45,TRUE,Qualifying
080010082002,0.69,0.71,0.95,0.1,0.9,0.24,0.75,0.98,0.98,0.66,0,0.68,0.53,0,0.29,0.03,0.5,0.76,0.648,TRUE,Qualifying
080010082003,0.27,0.32,0.96,0.21,0.54,0.31,0,0.95,0.96,0,0,1,1,0.97,0.78,0.15,0.48,0.71,0,TRUE,Qualifying
080010083081,0.28,0.23,0.73,0.45,0.43,0.4,0.32,0.94,0.88,0,0,0.96,0,0,0.71,0.36,0.62,0.7,0.186,TRUE,Qualifying
080010083083,0.86,0.54,0.98,0.21,0.96,0.61,0.97,0.99,0.98,0.89,0.98,0.88,0.47,0,0.24,0.03,0.97,0.96,1,TRUE,Qualifying
080010083091,0.8,0.83,0.97,0.19,0.86,0.68,0.75,0.93,0.92,0.72,0.97,0.98,0.82,0,0.3,0.02,0.71,0.93,0.924,TRUE,Qualifying
080010083092,0,0.95,0.96,0,1,0.77,0,1,0.96,0,0,1,0,0,0.99,1,0.51,0.95,0.436,TRUE,Qualifying
080010083093,0.73,0.27,0.99,0.2,0.89,0.55,0.81,0.98,0.99,0,1,0.94,0.77,0,0.43,0.04,0.69,0.91,0.972,TRUE,Qualifying
080010083541,1,0,0.99,0.99,0.12,0,0,0,0,0,0,0,0,0,1,0.98,0.34,0.69,0,TRUE,Qualifying
080010083542,0.66,0.21,0.8,0.09,0.56,0.28,0.65,0.97,0.87,0.89,0.72,0,0.58,0,0.39,0.63,0.34,0.83,0.396,TRUE,Qualifying
080010083551,0,0.7,0.89,0.21,0.9,0.31,0.33,0.87,0.94,0,0,0.99,0,0,0.86,0.6,0.88,0.87,0.656,TRUE,Qualifying
080010083552,0.95,0.67,0.83,0.4,0.66,0.61,0.81,0.93,0.86,0,0,0.76,0.57,0,0.35,0.09,0.79,0.89,0.891,TRUE,Qualifying
080010083553,0.73,0.77,0.84,0.09,0.52,0.72,0.62,0.94,0.76,0,0,0.86,0,0,0.48,0.67,0.56,0.9,0.703,TRUE,Qualifying
080010084011,0.62,0.52,0.8,0.57,0.48,0.81,0,0.36,0.56,0,0.95,0,0.66,0,0.19,0.46,0.44,0.62,0.134,FALSE,Not Qualifying
080010084012,0.57,0.55,0.69,0.32,0.7,0.6,0.89,0.46,0,0.67,0.82,0.71,0.87,0,0.21,0.63,0.67,0.73,0.261,FALSE,Not Qualifying
080010084013,0,0,0.71,0.1,0.44,0.33,0.47,0.52,0,0,0.76,0.71,0.7,0,0.7,0.25,0.09,0.08,0,FALSE,Not Qualifying
080010084021,0.42,0.73,0.51,0.22,0.88,0.35,0.34,0.38,0,0,0.82,0.67,0.6,0,0.75,0.62,0.22,0.61,0.103,FALSE,Not Qualifying
080010084022,0.18,0.28,0.63,0.22,0.9,0.76,0.71,0.66,0.81,0.6,0.75,0.81,0,0,0.33,0.11,0.51,0.41,0.009,FALSE,Not Qualifying
080010084023,0.51,0.69,0.43,0.35,0.36,0.46,0,0.25,0,0,0.78,0,0.53,0,0.58,0.57,0.22,0.39,0.007,FALSE,Not Qualifying
080010085054,0.77,0.99,0.77,0.77,0.36,0.92,0,0.57,0,0,0,0,0,0,0.21,0.3,0.75,0.66,0.496,TRUE,Qualifying
080010085055,0.47,0.55,0.73,0.77,0.62,0.52,0,0.63,0,0.85,0,0,0.81,0,0.74,0.43,0.78,0.76,0.42,FALSE,Qualifying
080010085071,0,0.48,0.45,0.49,0.36,0.55,0,0.81,0,0,0,0,0,0,0.75,0.81,0.36,0.44,0.103,TRUE,Qualifying
080010085075,0.95,0.97,0.95,0.72,0.21,0.94,0.77,0.76,0,0,0,0,0.98,0,0.64,0.8,0.41,0.96,0,TRUE,Qualifying
080010085081,0.61,0.55,0.96,0.5,0.78,0.92,0,0.64,0.76,0,0,0,0.57,0,0.18,0.1,0.61,0.6,0,TRUE,Qualifying
080010085082,0.48,0.31,0.35,0.25,0.65,0.68,0.42,0.8,0.78,0.87,0,0.75,0.52,0,0.17,0.27,0.49,0.37,0.003,FALSE,Not Qualifying
080010085243,0.84,0.69,0.63,0.06,0.94,0,0.3,0.87,0.92,0,0.72,0,0,0,0.74,0.59,0.35,0.91,0.582,TRUE,Qualifying
080010085245,0.44,0.77,0.55,0.39,0.74,0.46,0.31,0.65,0.63,0,0,0.75,0,0,0.93,0.25,0.11,0.55,0.069,FALSE,Not Qualifying
