block_group,wui_flag,poverty_percent_below_1_rank,civ_labor_force_unemployed_percent_2_rank,median_hh_income_3_rank,directional_median_hh_income_3_rank,wfsvi,percent_qualify,COES_DIC,J40,reduced_match_qualify
080010080001,1,0.78,0,0.34,0.66,0.79,0.358,TRUE,1,Qualifying
080010080002,1,0.57,0.41,0.15,0.85,0.86,0.89,TRUE,1,Qualifying
080010080004,1,0.28,0,0.75,0.25,0.44,0.055,TRUE,1,Qualifying
080010081001,1,0.97,0.62,0.11,0.89,0.84,0.287,TRUE,1,Qualifying
080010082001,1,0.84,0.51,0.46,0.54,0.75,0.307,TRUE,1,Qualifying
080010082002,1,0.57,0.69,0.68,0.32,0.7,0.561,TRUE,1,Qualifying
080010082003,1,0.65,0.28,0.57,0.43,0.89,0.379,TRUE,1,Qualifying
080010083081,1,0.47,0.29,0.41,0.59,0.64,0.135,TRUE,1,Qualifying
080010083083,1,0.93,0.94,0.04,0.96,0.98,0.998,TRUE,1,Qualifying
080010083091,1,0.72,0.8,0.25,0.75,0.93,0.847,TRUE,1,Qualifying
080010083092,1,0,1,0.31,0.69,0.92,0.346,TRUE,1,Qualifying
080010083093,1,0.81,0.37,0.32,0.68,0.92,0.946,TRUE,1,Qualifying
080010083541,1,0.54,0,0.64,0.36,0.76,0.462,TRUE,0,Qualifying
080010083542,1,0,0.31,0.71,0.29,0.68,0.267,TRUE,0,Qualifying
080010083551,1,0,0.67,0.15,0.85,0.78,0.571,TRUE,0,Qualifying
080010083552,1,0.8,0.61,0.34,0.66,0.86,0.818,TRUE,0,Qualifying
080010083553,1,0.53,0.37,0.5,0.5,0.81,0.655,TRUE,0,Qualifying
080010084011,1,0.57,0.61,0.65,0.35,0.58,0.069,FALSE,0,Not Qualifying
080010084012,1,0.54,0.33,0.39,0.61,0.71,0.14,FALSE,0,Not Qualifying
080010084013,1,0,0,0.76,0.24,0.03,0,FALSE,0,Not Qualifying
080010084021,1,0.62,0.5,0.76,0.24,0.72,0.067,FALSE,0,Not Qualifying
080010084022,1,0.21,0.38,0.77,0.23,0.15,0.006,FALSE,0,Not Qualifying
